ID Number,Name,Difficulty Value,Ability Number,Level,Species,Form Number,Held Item,Move 1,Move 2,Move 3,Move 4,Ball Seal,Difficulty Value,Ability Number,Level,Species,Form Number,Held Item,Move 1,Move 2,Move 3,Move 4,Ball Seal,Difficulty Value,Ability Number,Level,Species,Form Number,Held Item,Move 1,Move 2,Move 3,Move 4,Ball Seal,Difficulty Value,Ability Number,Level,Species,Form Number,Held Item,Move 1,Move 2,Move 3,Move 4,Ball Seal,Difficulty Value,Ability Number,Level,Species,Form Number,Held Item,Move 1,Move 2,Move 3,Move 4,Ball Seal,Difficulty Value,Ability Number,Level,Species,Form Number,Held Item,Move 1,Move 2,Move 3,Move 4,Ball Seal
11,Samantha,0,0,7,BUDEW,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sarah,0,0,7,SHINX,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Brandon,0,0,10,WURMPLE,0,None,Tackle,String Shot,Poison Sting,-,0,0,0,11,KRICKETOT,0,None,Bide,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Taylor,0,0,9,BUDEW,0,None,-,-,-,-,0,0,0,11,CHERUBI,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Liv & Liz,0,0,11,PACHIRISU,0,None,-,-,-,-,0,0,0,11,PACHIRISU,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jacob,0,0,14,PONYTA,0,None,Ember,Tackle,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Siena,0,0,12,BIDOOF,0,None,-,-,-,-,0,0,0,12,PACHIRISU,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Daniel,0,0,10,GEODUDE,0,None,-,-,-,-,0,0,0,11,GEODUDE,0,None,-,-,-,-,0,0,0,12,GEODUDE,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Nicholas,0,0,14,ONIX,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Kelsey,20,0,15,MACHOP,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Elizabeth,0,0,14,ROSELIA,0,None,Growth,Mega Drain,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Andrew,0,0,8,MAGIKARP,0,None,-,-,-,-,0,0,0,10,MAGIKARP,0,None,-,-,-,-,0,0,0,12,MAGIKARP,0,None,-,-,-,-,0,0,0,12,MAGIKARP,0,None,-,-,-,-,0,0,0,14,MAGIKARP,0,None,-,-,-,-,0,0,0,16,MAGIKARP,0,None,-,-,-,-,0
23,Joseph,0,0,17,GOLDEEN,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Zachary,0,0,14,MAGIKARP,0,None,-,-,-,-,0,0,0,16,GOLDEEN,0,None,-,-,-,-,0,0,0,14,MAGIKARP,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Axel,0,0,21,PIKACHU,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,James,0,0,21,PONYTA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,John,0,0,18,STARLY,0,None,-,-,-,-,0,0,0,20,STARAVIA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Ryan,0,0,21,SHINX,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Megan,0,0,21,STARAVIA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Nicole,0,0,17,STARLY,0,None,-,-,-,-,0,0,0,18,STARLY,0,None,-,-,-,-,0,0,0,19,STARLY,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Kayla,0,0,21,PIKACHU,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Rachel,0,0,20,PONYTA,0,None,-,-,-,-,0,0,0,18,SHINX,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Austin,0,0,18,BUIZEL,0,None,-,-,-,-,0,0,0,18,LUXIO,0,None,-,-,-,-,0,0,0,21,GLIGAR,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Anthony,0,0,22,CHIMCHAR,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Lauren,0,0,22,PACHIRISU,0,None,Spark,Quick Attack,Charm,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Kevin,0,0,17,GEODUDE,0,None,-,-,-,-,0,0,0,17,GEODUDE,0,None,-,-,-,-,0,0,0,19,ONIX,0,None,-,-,-,-,0,0,0,19,GEODUDE,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,
37,Justin,0,0,20,GEODUDE,0,None,-,-,-,-,0,0,0,20,NOSEPASS,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Helen,20,0,21,MACHOP,0,None,-,-,-,-,0,20,0,21,MEDITITE,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Robert,0,0,22,NOSEPASS,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Alexander,0,0,38,GRAVELER,0,None,-,-,-,-,0,0,0,40,PROBOPASS,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Jonathan,0,0,22,ONIX,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Kyle,30,0,23,MACHOP,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Cody,0,0,33,BARBOACH,0,None,-,-,-,-,0,0,0,33,GYARADOS,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Hannah,0,0,18,ROSELIA,0,None,-,-,-,-,1,0,0,22,COMBEE,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,William,0,0,20,MIME JR.,0,None,-,-,-,-,0,0,0,20,BONSLY,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Albert,0,0,20,BUDEW,0,None,-,-,-,-,0,0,0,20,BONSLY,0,None,-,-,-,-,0,0,0,20,PICHU,0,None,-,-,-,-,0,0,0,20,EEVEE,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,
47,Jennifer,0,0,20,BUDEW,0,None,-,-,-,-,0,0,0,20,MIME JR.,0,None,-,-,-,-,0,0,0,20,CLEFFA,0,None,-,-,-,-,0,0,0,20,EEVEE,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,
48,Shelley,0,0,23,PONYTA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Richard,0,0,23,LUXIO,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Danielle,0,0,22,PICHU,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Ty & Sue,0,0,23,BUNEARY,0,None,Foresight,Jump Kick,Quick Attack,Defense Curl,0,0,0,23,BUIZEL,0,None,Aqua Jet,Swift,Pursuit,SonicBoom,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Kahlil,0,0,23,ELEKID,0,None,-,-,-,-,0,0,0,23,HAPPINY,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amber,0,0,23,MAGBY,0,None,-,-,-,-,0,0,0,23,TOGEPI,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Teri & Tia,0,0,23,PIKACHU,0,None,-,-,-,-,20,0,0,23,CLEFAIRY,0,None,-,-,-,-,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Ernest,50,0,32,SCYTHER,0,None,Slash,Wing Attack,Pursuit,Quick Attack,0,50,0,31,PROBOPASS,0,None,Thunder Wave,Rock Slide,Magnet Bomb,Iron Defense,0,50,0,34,LUXIO,0,None,Thunderbolt,Crunch,Swagger,Double Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Alyssa,50,0,32,AIPOM,0,None,Swift,Water Pulse,Shock Wave,Aerial Ace,0,50,0,32,GIRAFARIG,0,None,Double Hit,Psybeam,Assurance,Light Screen,0,50,0,33,GROTLE,0,None,Mega Drain,Bite,Curse,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Brian,100,0,32,TANGELA,0,None,Ingrain,Giga Drain,AncientPower,Toxic,0,100,0,32,PONYTA,0,None,Fire Spin,Stomp,Take Down,-,0,100,0,32,BUIZEL,0,None,Aqua Jet,Whirlpool,Pursuit,Quick Attack,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Adam,30,0,34,MACHOKE,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Joel,0,0,29,ZUBAT,0,None,-,-,-,-,0,0,0,29,SKORUPI,0,None,-,-,-,-,0,0,0,29,STUNKY,0,None,-,-,-,-,0,0,0,29,GOLBAT,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,
71,Nathan,0,0,31,STUNKY,0,None,-,-,-,-,0,0,0,31,GOLBAT,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Davido,0,0,33,MOTHIM,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Patrick,50,0,34,GIBLE,0,None,-,-,-,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Brianna,50,0,31,HOOTHOOT,0,None,-,-,-,-,0,50,0,33,NOCTOWL,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Zac & Jen,50,0,36,GYARADOS,0,None,-,-,-,-,0,50,0,36,RAICHU,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Alexandra,20,0,17,STARLY,0,None,-,-,-,-,0,20,0,17,HOOTHOOT,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Zach,0,0,14,ZUBAT,0,None,-,-,-,-,0,0,0,14,ZUBAT,0,None,-,-,-,-,0,0,0,14,ZUBAT,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Sean,30,0,31,CROAGUNK,0,None,-,-,-,-,0,30,0,31,MEDITITE,0,None,-,-,-,-,0,30,0,31,MACHOKE,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Nick,0,0,32,SKORUPI,0,None,-,-,-,-,0,0,0,30,CROAGUNK,0,None,-,-,-,-,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Katherine,50,0,34,NOCTOWL,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Jason,0,0,27,PRINPLUP,0,None,-,-,-,-,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Melissa,0,0,27,CHERUBI,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Jeremy,0,0,27,CHATOT,0,None,-,-,-,-,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Reina,0,0,27,ROSELIA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Bobby,0,0,24,HOOTHOOT,0,None,-,-,-,-,0,0,0,26,MACHOP,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Alex,0,0,25,HOOTHOOT,0,None,-,-,-,-,0,0,0,25,MACHOP,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Dylan,0,0,26,HOOTHOOT,0,None,-,-,-,-,0,0,0,24,MACHOP,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Juan,0,0,29,GYARADOS,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Josh,0,0,27,GOLDEEN,0,None,-,-,-,-,0,0,0,27,GOLDEEN,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Travis,0,0,24,BARBOACH,0,None,-,-,-,-,0,0,0,25,BARBOACH,0,None,-,-,-,-,0,0,0,26,GYARADOS,0,None,-,-,-,-,0,0,0,25,BARBOACH,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,
94,Taylor,50,0,28,CARNIVINE,0,None,-,-,-,-,0,50,0,30,LUXIO,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Jeffrey,50,0,31,MONFERNO,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Allison,50,0,29,MARILL,0,None,-,-,-,-,0,50,0,29,LEAFEON,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Stefano,0,0,30,KADABRA,0,None,Psybeam,Disable,Kinesis,Ice Punch,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Caleb,0,0,23,HOOTHOOT,0,None,-,-,-,-,0,0,0,27,MACHOP,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Sheltin,0,0,32,GYARADOS,0,None,-,-,-,-,0,0,0,32,GYARADOS,0,None,-,-,-,-,0,0,0,32,GYARADOS,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Evan,0,0,32,GOLDUCK,0,None,-,-,-,-,0,0,0,34,GOLDUCK,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Haley,0,0,31,PSYDUCK,0,None,-,-,-,-,0,0,0,35,AZUMARILL,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Mary,0,0,33,FINNEON,0,None,-,-,-,-,0,0,0,33,PELIPPER,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Jared,0,0,25,SHELLOS,1,None,-,-,-,-,0,0,0,25,SHELLOS,1,None,-,-,-,-,0,0,0,26,SHELLOS,0,None,-,-,-,-,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Chelsea,0,0,28,MARILL,0,None,-,-,-,-,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Paul,0,0,31,TENTACOOL,0,None,-,-,-,-,0,0,0,31,PELIPPER,0,None,-,-,-,-,0,0,0,34,MACHOKE,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Kenneth,0,0,25,REMORAID,0,None,-,-,-,-,0,0,0,25,REMORAID,0,None,-,-,-,-,0,0,0,28,GYARADOS,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Tara & Tim,0,0,5,RATTATA,0,None,-,-,-,-,0,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Bryan,0,0,24,BRONZOR,0,None,-,-,-,-,0,0,0,26,CRANIDOS,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Ronald,0,0,27,SHIELDON,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Mitchell,0,0,26,DUSKULL,0,None,-,-,-,-,0,0,0,26,KADABRA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Abigail,0,0,23,CHINGLING,0,None,-,-,-,-,0,0,0,25,DRIFLOON,0,None,-,-,-,-,0,0,0,27,KIRLIA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Carlos,50,0,30,GOLDEEN,0,None,Horn Drill,Flail,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Mickey,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Gregory,30,0,23,MACHOP,0,None,-,-,-,-,0,30,0,23,MACHOP,0,None,-,-,-,-,0,30,0,23,MACHOP,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Derek,30,0,26,CROAGUNK,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Nathaniel,30,0,21,CROAGUNK,0,None,-,-,-,-,0,30,0,24,MEDITITE,0,None,-,-,-,-,0,30,0,24,MACHOP,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Scott,0,0,25,STARAVIA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Angelica,0,0,5,RATTATA,0,None,-,-,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
